case_id,segment,variant,n_users,revenue,cpm,fillrate,ctr,shows,revenue_effect_relative,revenue_p_value,ctr_effect_relative,ctr_p_value
case_011,all,test,278420,3271602.5102,103.82,0.691,0.0771,10295606,0.0051,0.22,0.005,0.797
case_011,news,control,132873,1562400.96,103.29,0.693,0.0767,4947961,,,,
case_011,news,test,134288,1603179.625056,105.99,0.693,0.0771,4937612,0.0261,0.0303,0.005,0.797
case_011,dzen,control,143945,1692601.04,103.29,0.693,0.0767,5360291,,,,
case_011,dzen,test,144450,1612879.531016,98.43,0.696,0.0771,5396008,-0.0471,0.0189,0.005,0.797
case_012,all,control,495442,3536840,102.66,0.72,0.0644,16857829,,,,
case_012,all,test,495512,3609698.904,104.77,0.72,0.065,16814487,0.0206,0.0357,0.0097,0.224
case_013,all,control,2144185,3313915,226.42,0.796,0.0356,13001431,,,,
case_013,all,test,2142332,3320542.83,226.87,0.799,0.0359,13027781,0.002,0.0014,0.0096,0.229
case_014,all,control,2854164,1881124,220.52,0.833,0.0477,26786573,,,,
case_014,all,test,2855746,1885074.3604,220.98,0.832,0.0481,26817924,0.0021,0.00934,0.0094,0.132
case_015,all,control,460222,2119064,89.8,0.845,0.0491,9299382,,,,
case_015,all,test,461738,2139407.0144,90.66,0.845,0.0493,9275540,0.0096,0.424,0.0036,0.662
case_015,news,control,280735,1292629.04,89.8,0.845,0.0491,5672623,,,,
case_015,news,test,280620,1351831.450032,93.91,0.844,0.0493,5652454,0.0458,0.002,0.0036,0.662
case_015,dzen,control,179486,826434.96,89.8,0.845,0.0491,3626758,,,,
case_015,dzen,test,178399,809493.04332,87.96,0.841,0.0493,3602071,-0.0205,0.014,0.0036,0.662
case_016,all,control,762262,2388943,284.81,0.64,0.0785,13991741,,,,
case_016,all,test,762640,2458939.0299,293.15,0.643,0.074,13976536,0.0293,0.0119,-0.0575,0.0166
case_017,all,control,399312,2068383,61.1,0.753,0.056,26067450,,,,
case_017,all,test,400125,2100649.7748,62.05,0.755,0.0532,26114698,0.0156,0.0317,-0.0503,0.0394
case_018,all,control,330679,4018868,275.01,0.777,0.0633,18944882,,,,
case_018,all,test,330327,4002390.6412,273.88,0.779,0.0626,18967549,-0.0041,0.432,-0.0117,0.32
case_019,all,control,650770,4295711,195.0,0.829,0.0532,22836420,,,,
case_019,all,test,651537,4334801.9701,196.77,0.827,0.0524,22848441,0.0091,0.371,-0.015,0.301
case_019,mobile,control,396969,2620383.71,195.0,0.829,0.0532,13930216,,,,
case_019,mobile,test,398900,2742493.590886,204.09,0.831,0.0524,13902457,0.0466,0.025,-0.015,0.301
case_019,desktop,control,253800,1675327.29,195.0,0.829,0.0532,8906203,,,,
case_019,desktop,test,254498,1611664.85298,187.59,0.826,0.0524,8923764,-0.038,0.0224,-0.015,0.301
case_020,all,control,698216,3563868,262.43,0.625,0.0507,29131419,,,,
case_020,all,test,698573,3645124.1904,268.41,0.623,0.0486,29172691,0.0228,0.0098,-0.042,0.002
case_021,all,control,645798,1917886,93.97,0.935,0.0559,9685049,,,,
case_021,all,test,646081,1939366.3232,95.02,0.933,0.0522,9650955,0.0112,0.0278,-0.0662,0.0346
case_022,all,control,729298,2789880,257.64,0.792,0.0749,23927431,,,,
case_022,all,test,729141,2853210.276,263.49,0.79,0.0747,23909837,0.0227,0.0305,-0.0023,0.752
case_023,all,control,766390,1337967,84.59,0.681,0.0647,15179067,,,,
case_023,all,test,764653,1356698.538,85.77,0.68,0.0618,15172436,0.014,0.004,-0.045,0.0116
case_024,all,control,220480,4593394,270.16,0.801,0.0538,19803066,,,,
case_024,all,test,219703,4582829.1938,269.54,0.803,0.0539,19807987,-0.0023,0.31,0.0026,0.509
case_025,all,control,760069,1113105,276.73,0.807,0.0631,10816809,,,,
case_025,all,test,760701,1114774.6575,277.15,0.806,0.0627,10827324,0.0015,0.112,-0.0057,0.189
case_025,feed,control,372433,545421.45,276.73,0.807,0.0631,5300236,,,,
case_025,feed,test,371498,560038.74486,284.15,0.806,0.0627,5277978,0.0268,0.0275,-0.0057,0.189
case_025,article,control,387635,567683.55,276.73,0.807,0.0631,5516572,,,,
case_025,article,test,387497,548495.84601,267.38,0.806,0.0627,5566347,-0.0338,0.0074,-0.0057,0.189
case_026,all,control,566960,1940455,212.54,0.873,0.0626,9041193,,,,
case_026,all,test,568849,1966651.1425,215.41,0.871,0.0604,8993864,0.0135,0.0042,-0.0357,0.022
case_027,all,control,320096,4262295,254.83,0.938,0.0354,8861624,,,,
case_027,all,test,321900,4283606.475,256.1,0.936,0.0353,8900405,0.005,0.326,-0.0029,0.624
case_027,feed,control,201660,2685245.85,254.83,0.938,0.0354,5582823,,,,
case_027,feed,test,201197,2745932.40621,260.59,0.937,0.0353,5626541,0.0226,0.0283,-0.0029,0.624
case_027,article,control,118435,1577049.15,254.83,0.938,0.0354,3278800,,,,
case_027,article,test,117247,1546612.101405,249.91,0.934,0.0353,3319320,-0.0193,0.0075,-0.0029,0.624
case_028,all,control,588571,1289225,176.49,0.719,0.0725,24448439,,,,
case_028,all,test,587003,1352912.715,185.21,0.719,0.0721,24445911,0.0494,0.0315,-0.0061,0.443
case_029,all,control,764315,4249081,170.87,0.752,0.0666,17005859,,,,
case_029,all,test,763635,4237608.4813,170.41,0.755,0.0664,16967218,-0.0027,0.361,-0.0037,0.531
case_030,all,control,711233,1889695,138.71,0.69,0.044,28003642,,,,
case_030,all,test,712105,1928433.7475,141.55,0.693,0.0419,28026490,0.0205,0.0271,-0.0468,0.0203
case_031,all,control,218080,1390294,123.56,0.742,0.0422,27513767,,,,
case_031,all,test,217591,1446739.9364,128.58,0.742,0.0424,27533355,0.0406,0.0279,0.0058,0.493
case_032,all,control,530876,1501448,235.72,0.933,0.0645,14427048,,,,
case_032,all,test,529762,1525020.7336,239.42,0.935,0.0616,14413289,0.0157,0.0187,-0.0457,0.01
case_033,all,control,2337709,1530927,118.58,0.941,0.0577,12237236,,,,
case_033,all,test,2339266,1542715.1379,119.49,0.943,0.0575,12200682,0.0077,0.00303,-0.0028,0.342
case_034,all,control,1318194,4448202,66.34,0.772,0.0589,9798822,,,,
case_034,all,test,1316805,4460212.1454,66.52,0.774,0.0586,9788646,0.0027,0.00966,-0.005,0.789
case_035,all,control,649660,2280857,192.16,0.621,0.078,11329726,,,,
case_035,all,test,651541,2295682.5705,193.41,0.623,0.0775,11361713,0.0065,0.343,-0.0061,0.702
case_035,mobile,control,318333,1117619.93,192.16,0.621,0.078,5551565,,,,
case_035,mobile,test,319038,1165342.301011,200.37,0.618,0.0775,5533004,0.0427,0.0098,-0.0061,0.702
case_035,desktop,control,331326,1163237.07,192.16,0.621,0.078,5778160,,,,
case_035,desktop,test,330037,1129386.871263,186.57,0.621,0.0775,5748677,-0.0291,0.0186,-0.0061,0.702
case_036,all,control,444762,4875163,116.14,0.877,0.0595,14637711,,,,
case_036,all,test,444503,4945365.3472,117.81,0.874,0.0559,14617177,0.0144,0.01,-0.0597,0.0284
case_037,all,control,796856,4863761,122.15,0.644,0.0644,21505944,,,,
case_037,all,test,798717,4848196.9648,121.76,0.643,0.0644,21526720,-0.0032,0.13,-0.0002,0.517
case_038,all,control,1986711,4207637,218.07,0.694,0.032,13878425,,,,
case_038,all,test,1986836,4217314.5651,218.57,0.695,0.0318,13864883,0.0023,0.00329,-0.005,0.173
case_039,all,control,549499,2346615,217.53,0.9,0.0465,24625181,,,,
case_039,all,test,548679,2354358.8295,218.25,0.901,0.0457,24627669,0.0033,0.346,-0.0177,0.344
case_040,all,control,768950,2937669,153.31,0.666,0.0481,24726652,,,,
case_040,all,test,769511,3016398.5292,157.42,0.666,0.049,24683416,0.0268,0.0211,0.0195,0.626
case_041,all,control,450921,3977044,89.59,0.793,0.0576,11127581,,,,
case_041,all,test,449841,4089992.0496,92.13,0.797,0.0542,11092452,0.0284,0.0181,-0.0594,0.0057
case_042,all,control,678975,3312173,86.16,0.667,0.06,12580459,,,,
case_042,all,test,680514,3438698.0086,89.45,0.664,0.06,12584846,0.0382,0.0172,-0.0007,0.478
case_043,all,control,355813,2872955,184.65,0.721,0.0576,26234487,,,,
case_043,all,test,355358,2913750.961,187.27,0.721,0.0544,26226663,0.0142,0.0126,-0.0555,0.04
case_044,all,control,599749,2619331,297.1,0.877,0.0626,13103807,,,,
case_044,all,test,599777,2653644.2361,300.99,0.881,0.0603,13070354,0.0131,0.0312,-0.0365,0.03
case_045,all,control,692296,4277954,292.3,0.718,0.0646,29804899,,,,
case_045,all,test,690624,4444366.4106,303.67,0.721,0.065,29843288,0.0389,0.017,0.0062,0.223
case_046,all,control,2476166,1954146,236.69,0.752,0.0349,29265048,,,,
case_046,all,test,2477740,1966457.1198,238.18,0.749,0.0346,29236853,0.0063,0.00874,-0.0093,0.155
case_047,all,control,2299626,3859678,248.13,0.659,0.0339,20836056,,,,
case_047,all,test,2300424,3871643.0018,248.9,0.657,0.0337,20862491,0.0031,0.00381,-0.0071,0.525
case_048,all,control,2339951,1662597,68.47,0.931,0.0794,18037950,,,,
case_048,all,test,2341891,1665922.194,68.61,0.93,0.0799,18020730,0.002,0.00019,0.0061,0.821
case_049,all,control,615032,2151254,52.02,0.903,0.0689,9645651,,,,
case_049,all,test,616761,2203744.5976,53.29,0.904,0.0695,9660758,0.0244,0.0125,0.008,0.118
case_050,all,control,343423,3635063,74.29,0.82,0.032,22791571,,,,
case_050,all,test,341559,3681591.8064,75.24,0.821,0.0306,22837562,0.0128,0.0084,-0.0438,0.0305
case_051,all,control,583629,3226556,175.45,0.695,0.0382,24168130,,,,
case_051,all,test,585591,3223974.7552,175.31,0.697,0.0376,24215983,-0.0008,0.308,-0.015,0.651
case_052,all,control,784384,2534171,72.58,0.738,0.0432,12146949,,,,
case_052,all,test,784246,2562300.2981,73.39,0.737,0.0404,12195123,0.0111,0.0387,-0.0651,0.0292
case_053,all,control,266287,3665077,255.96,0.918,0.0451,21700135,,,,
case_053,all,test,264764,3792621.6796,264.87,0.915,0.0448,21655012,0.0348,0.0378,-0.0069,0.588
case_054,all,control,1207663,2757945,196.84,0.854,0.0743,29975532,,,,
case_054,all,test,1209077,2766770.424,197.47,0.854,0.0741,29979024,0.0032,0.00395,-0.0026,0.86
case_055,all,control,576096,1253965,149.53,0.666,0.0361,23257783,,,,
case_055,all,test,574471,1310017.2355,156.21,0.667,0.0364,23291892,0.0447,0.0049,0.0074,0.536
case_056,all,control,417220,3459468,103.99,0.904,0.0464,12951096,,,,
case_056,all,test,418450,3505824.8712,105.38,0.908,0.0439,12901467,0.0134,0.0059,-0.0548,0.0037
case_057,all,control,2103281,3469828,130.94,0.661,0.0326,22125092,,,,
case_057,all,test,2101746,3475726.7076,131.16,0.663,0.0323,22137514,0.0017,0.00664,-0.0095,0.112
case_058,all,control,2776913,2265129,164.51,0.937,0.033,24071965,,,,
case_058,all,test,2776558,2271924.387,165.0,0.936,0.0327,24036115,0.003,0.00946,-0.0091,0.727
case_059,all,control,756329,2236890,163.43,0.812,0.035,11839099,,,,
case_059,all,test,757822,2283864.69,166.86,0.813,0.0351,11861363,0.021,0.0257,0.0019,0.36
case_060,all,control,1140788,3789664,113.72,0.934,0.0643,23913789,,,,
case_060,all,test,1139161,3808991.2864,114.3,0.937,0.0646,23876008,0.0051,0.00405,0.0046,0.35
case_061,all,control,643481,4641042,278.96,0.618,0.0444,18484045,,,,
case_061,all,test,642921,4791875.865,288.03,0.616,0.0437,18500552,0.0325,0.0139,-0.0151,0.383
case_062,all,control,649956,4544837,190.24,0.869,0.0611,29565405,,,,
case_062,all,test,650236,4691635.2351,196.38,0.865,0.0606,29601628,0.0323,0.0055,-0.0089,0.281
case_063,all,control,272965,1595065,235.24,0.94,0.0346,25800045,,,,
case_063,all,test,271846,1639567.3135,241.8,0.939,0.0341,25809505,0.0279,0.0081,-0.0143,0.626
case_064,all,control,2018506,4164333,204.46,0.836,0.0436,22227574,,,,
case_064,all,test,2018992,4190984.7312,205.77,0.836,0.0432,22213378,0.0064,0.00572,-0.0083,0.142
case_065,all,control,208060,1857412,125.35,0.674,0.0369,16573811,,,,
case_065,all,test,207245,1860012.3768,125.53,0.673,0.0366,16524824,0.0014,0.213,-0.0071,0.52
case_065,feed,control,114433,1021576.6,125.35,0.674,0.0369,9115596,,,,
case_065,feed,test,114196,1061111.61442,130.2,0.672,0.0366,9115430,0.0387,0.02,-0.0071,0.52
case_065,article,control,93627,835835.4,125.35,0.674,0.0369,7458214,,,,
case_065,article,test,93808,816360.43518,122.43,0.675,0.0366,7473784,-0.0233,0.0028,-0.0071,0.52
case_066,all,control,637983,2214314,78.79,0.607,0.0462,28740842,,,,
case_066,all,test,637867,2312850.973,82.3,0.609,0.0463,28738270,0.0445,0.0235,0.0029,0.668
case_067,all,control,735280,3655936,78.51,0.778,0.0753,19723088,,,,
case_067,all,test,734718,3650817.6896,78.4,0.78,0.0747,19757687,-0.0014,0.336,-0.0083,0.218
case_067,news,control,448520,2230120.96,78.51,0.778,0.0753,12031083,,,,
case_067,news,test,447487,2304383.987968,81.12,0.775,0.0747,12014633,0.0333,0.0164,-0.0083,0.218
case_067,dzen,control,286759,1425815.04,78.51,0.778,0.0753,7692004,,,,
case_067,dzen,test,285567,1372204.394496,75.56,0.775,0.0747,7662040,-0.0376,0.0142,-0.0083,0.218
case_068,all,control,538908,4624914,292.74,0.711,0.052,23734380,,,,
case_068,all,test,538719,4709087.4348,298.07,0.712,0.0491,23720382,0.0182,0.023,-0.0553,0.0276
case_069,all,control,501022,1321833,211.17,0.942,0.0345,27934010,,,,
case_069,all,test,501098,1316545.668,210.33,0.941,0.0338,27960074,-0.004,0.331,-0.0191,0.358
case_070,all,control,288425,3116231,211.53,0.614,0.0654,22744548,,,,
case_070,all,test,288571,3266744.9573,221.75,0.614,0.0662,22715355,0.0483,0.0186,0.0124,0.77
case_071,all,control,785066,3845329,146.64,0.688,0.0726,28223283,,,,
case_071,all,test,786642,3906469.7311,148.97,0.686,0.0721,28183965,0.0159,0.0256,-0.0066,0.364
case_072,all,control,288834,2298480,189.73,0.825,0.0464,12288047,,,,
case_072,all,test,289578,2315948.448,191.17,0.827,0.0459,12334879,0.0076,0.449,-0.0102,0.517
case_073,all,control,2064702,1805328,106.64,0.648,0.0339,11393720,,,,
case_073,all,test,2065859,1810382.9184,106.94,0.648,0.0337,11440535,0.0028,0.00369,-0.0064,0.271
case_074,all,control,389630,4486913,223.21,0.819,0.0751,22685882,,,,
case_074,all,test,387808,4515629.2432,224.64,0.818,0.0747,22724534,0.0064,0.409,-0.0051,0.208
case_075,all,control,1968213,4791543,258.78,0.729,0.0774,22783995,,,,
case_075,all,test,1969364,4822688.0295,260.46,0.727,0.077,22784047,0.0065,0.00242,-0.0052,0.872
case_076,all,control,703935,4666312,142.8,0.927,0.0656,25311046,,,,
case_076,all,test,705421,4655112.8512,142.46,0.924,0.0657,25272039,-0.0024,0.402,0.0018,0.137
case_077,all,control,615712,3105570,143.49,0.735,0.0341,15534270,,,,
case_077,all,test,613827,3238177.839,149.62,0.734,0.0347,15497257,0.0427,0.0355,0.0172,0.432
case_078,all,control,468355,1904521,258.74,0.792,0.0664,25709073,,,,
case_078,all,test,468088,1903187.8353,258.56,0.789,0.0654,25696835,-0.0007,0.432,-0.0149,0.155
case_078,news,control,234177,952260.5,258.74,0.792,0.0664,12854536,,,,
case_078,news,test,232676,989779.5637,268.93,0.788,0.0654,12859563,0.0394,0.0064,-0.0149,0.155
case_078,dzen,control,234177,952260.5,258.74,0.792,0.0664,12854536,,,,
case_078,dzen,test,234794,931501.2211,253.1,0.794,0.0654,12864450,-0.0218,0.0185,-0.0149,0.155
case_079,all,control,636802,1785651,216.09,0.63,0.0787,10270941,,,,
case_079,all,test,638707,1792793.604,216.95,0.63,0.0785,10287437,0.004,0.107,-0.0027,0.268
case_079,feed,control,388449,1089247.11,216.09,0.63,0.0787,6265274,,,,
case_079,feed,test,388528,1125192.26463,223.22,0.63,0.0785,6266451,0.033,0.0104,-0.0027,0.268
case_079,article,control,248352,696403.89,216.09,0.63,0.0787,4005666,,,,
case_079,article,test,249929,665553.197673,206.52,0.63,0.0785,4038984,-0.0443,0.0177,-0.0027,0.268
case_080,all,control,246489,2477649,186.5,0.885,0.0388,23590157,,,,
case_080,all,test,247337,2465756.2848,185.6,0.885,0.0388,23564048,-0.0048,0.415,-0.0003,0.333
case_080,mobile,control,150358,1511365.89,186.5,0.885,0.0388,14389995,,,,
case_080,mobile,test,148616,1552323.905619,191.55,0.887,0.0388,14399983,0.0271,0.0296,-0.0003,0.333
case_080,desktop,control,96130,966283.11,186.5,0.885,0.0388,9200161,,,,
case_080,desktop,test,94281,942222.660561,181.86,0.883,0.0388,9155902,-0.0249,0.0311,-0.0003,0.333
case_081,all,control,1572976,2200036,139.24,0.873,0.0733,19137544,,,,
case_081,all,test,1571485,2215216.2484,140.2,0.876,0.0729,19144816,0.0069,0.00548,-0.0049,0.703
case_082,all,control,282760,2806097,200.61,0.888,0.0573,18778067,,,,
case_082,all,test,281180,2937983.559,210.04,0.884,0.058,18814695,0.047,0.0213,0.012,0.682
case_083,all,control,487892,3682128,295.01,0.932,0.0338,29391371,,,,
case_083,all,test,487555,3725208.8976,298.46,0.931,0.0336,29439661,0.0117,0.0349,-0.0059,0.899
case_084,all,control,447459,4265330,211.29,0.727,0.0775,9086671,,,,
case_084,all,test,447937,4290921.98,212.56,0.724,0.0768,9095643,0.006,0.439,-0.009,0.188
case_085,all,control,492227,2046947,290.13,0.609,0.0393,25372648,,,,
case_085,all,test,491812,2056977.0403,291.55,0.612,0.039,25338083,0.0049,0.387,-0.0068,0.379
case_086,all,control,674001,1724173,274.67,0.756,0.0344,18723586,,,,
case_086,all,test,674736,1804691.8791,287.5,0.755,0.0339,18682097,0.0467,0.0202,-0.0151,0.782
case_087,all,control,1055121,1940537,80.34,0.67,0.0369,24576625,,,,
case_087,all,test,1054599,1952180.222,80.82,0.67,0.037,24574978,0.006,0.00928,0.0028,0.735
case_088,all,control,331414,2329710,210.58,0.757,0.064,19559997,,,,
case_088,all,test,329939,2349046.593,212.33,0.76,0.0636,19582257,0.0083,0.126,-0.0068,0.502
case_088,mobile,control,192220,1351231.8,210.58,0.757,0.064,11344798,,,,
case_088,mobile,test,190965,1390282.39902,216.67,0.759,0.0636,11311710,0.0289,0.029,-0.0068,0.502
case_088,desktop,control,139193,978478.2,210.58,0.757,0.064,8215198,,,,
case_088,desktop,test,138965,948243.22362,204.07,0.757,0.0636,8172461,-0.0309,0.017,-0.0068,0.502
case_089,all,control,282690,2051114,99.08,0.935,0.0437,28972270,,,,
case_089,all,test,281930,2090085.166,100.96,0.936,0.0437,28934515,0.019,0.038,0.0008,0.327
case_090,all,control,2616951,1172781,256.31,0.61,0.0323,29523615,,,,
case_090,all,test,2617313,1175361.1182,256.87,0.609,0.0324,29501246,0.0022,0.00662,0.0044,0.584
case_091,all,control,516768,3025617,111.22,0.883,0.0503,23218415,,,,
case_091,all,test,515066,3011699.1618,110.71,0.885,0.05,23189134,-0.0046,0.544,-0.0064,0.549
case_092,all,control,618084,1548472,240.17,0.78,0.0353,16111376,,,,
case_092,all,test,617994,1617379.004,250.86,0.777,0.036,16120305,0.0445,0.0135,0.0195,0.376
case_093,all,control,527905,1796221,240.78,0.774,0.0557,24735598,,,,
case_093,all,test,529505,1852622.3394,248.34,0.773,0.0566,24688635,0.0314,0.0385,0.0161,0.751
case_094,all,control,693446,2198515,184.17,0.897,0.0515,16874237,,,,
case_094,all,test,694425,2224897.18,186.38,0.896,0.0523,16877092,0.012,0.0203,0.0153,0.623
case_095,all,control,776566,2173233,256.33,0.818,0.0606,12317226,,,,
case_095,all,test,778559,2217784.2765,261.58,0.815,0.0573,12316141,0.0205,0.0086,-0.0544,0.0039
case_096,all,control,549218,4372077,168.44,0.76,0.0603,25297502,,,,
case_096,all,test,547790,4426290.7548,170.53,0.759,0.0571,25327858,0.0124,0.0209,-0.0525,0.0028
case_097,all,control,734473,3232795,172.46,0.797,0.0537,8558243,,,,
case_097,all,test,733981,3258334.0805,173.82,0.796,0.053,8522609,0.0079,0.47,-0.0125,0.335
case_098,all,control,703787,1715179,181.06,0.852,0.0687,20757070,,,,
case_098,all,test,702392,1787216.518,188.66,0.855,0.0689,20738815,0.042,0.0313,0.0031,0.677
case_099,all,control,694514,4660862,262.09,0.855,0.0653,25404120,,,,
case_099,all,test,693363,4735901.8782,266.31,0.856,0.0651,25440919,0.0161,0.0279,-0.0036,0.72
case_100,all,control,477203,3558846,171.05,0.935,0.044,18015969,,,,
case_100,all,test,476124,3592299.1524,172.66,0.939,0.0439,18004977,0.0094,0.284,-0.0014,0.663
case_100,feed,control,286321,2135307.6,171.05,0.935,0.044,10809581,,,,
case_100,feed,test,287208,2207267.46612,176.81,0.932,0.0439,10851985,0.0337,0.0223,-0.0014,0.663
case_100,article,control,190881,1423538.4,171.05,0.935,0.044,7206387,,,,
case_100,article,test,190883,1390797.0168,167.12,0.933,0.0439,7202105,-0.023,0.0348,-0.0014,0.663
